firstname,p_f_r_his,p_f_r_whi,p_f_r_bla,p_f_r_asi,p_f_r_oth
BEVERLY,0.000251156,0.001200787,0.002446734,0.00020367,0.001168361
BHARAT,0,7.75E-06,0,0.000365407,0.000116836
BHAVNA,5.46E-06,3.65E-06,0,0.000167728,0
BHUPINDER,0,3.19E-06,1.79E-05,0.000119806,0.000233672
BIANCA,0.000212937,3.01E-05,6.25E-05,5.99E-06,0
BIBI,1.64E-05,8.21E-06,1.79E-05,0.000173718,0.000233672
BIJAN,0,1.46E-05,0,3.00E-05,0
BILL,8.74E-05,0.000225746,0.000142875,0.000365407,0.000233672
BILLIE,5.46E-05,0.000186982,0.000241102,3.00E-05,0.000467344
BILLY,0.000207477,0.000489801,0.000892969,0.000305504,0.001285197
BIN,0,1.37E-06,0,0.000551106,0
BINA,5.46E-06,3.65E-06,0,0.000119806,0.000350508
BING,1.09E-05,2.74E-06,0,0.000533135,0
BINH,1.09E-05,2.74E-06,0,0.000802698,0
BIPIN,0,5.02E-06,8.93E-06,0.000107825,0.000233672
BIRGIT,0,1.87E-05,0,5.99E-06,0
BIRGITTA,0,1.05E-05,0,0,0
BJORN,0,1.87E-05,0,0,0
BLAINE,0,9.03E-05,2.68E-05,5.99E-06,0.000116836
BLAIR,5.46E-06,0.000119942,5.36E-05,5.99E-06,0
BLAISE,0,1.37E-05,2.68E-05,5.99E-06,0
BLAKE,2.18E-05,0.000250829,5.36E-05,4.19E-05,0
BLANCA,0.002435123,1.78E-05,8.93E-06,1.80E-05,0
BLANCHE,5.46E-06,3.33E-05,0.000107156,1.20E-05,0.000350508
BLAS,0.000163797,9.12E-07,0,0,0
BLYTHE,5.46E-06,1.60E-05,0,5.99E-06,0
BO,0,1.50E-05,0,0.000593038,0.000233672
BOB,1.64E-05,9.99E-05,6.25E-05,0.000155747,0.000116836
BOBBI,1.64E-05,7.94E-05,0,5.99E-06,0.000116836
BOBBIE,3.82E-05,0.000150041,0.0005715,1.20E-05,0.00058418
BOBBY,0.000180177,0.000402238,0.001384102,0.000287534,0.001285197
BOGDAN,0,3.56E-05,0,5.99E-06,0
BOGUSLAW,0,1.00E-05,0,0,0
BOHDAN,0,1.28E-05,0,0,0
BONG,0,9.12E-07,0,0.000197679,0
BONIFACIO,0.000202017,9.12E-07,0,7.79E-05,0.000116836
BONITA,2.18E-05,0.00012131,0.000321469,1.80E-05,0
BONNI,0,8.21E-06,0,0,0
BONNIE,0.000125578,0.00126281,0.000267891,0.000227631,0.000467344
BONNY,0,2.74E-05,8.93E-06,1.20E-05,0
BORIS,7.10E-05,0.000116749,7.14E-05,1.80E-05,0
BOYD,5.46E-06,8.35E-05,2.68E-05,1.20E-05,0.000116836
BOZENA,0,3.15E-05,0,0,0
BRAD,2.73E-05,0.000640298,0.000125016,3.00E-05,0.000701016
BRADD,0,7.30E-06,0,0,0
BRADEN,0,2.96E-05,0,0,0.000116836
BRADFORD,1.64E-05,0.000249917,8.93E-05,5.39E-05,0
BRADLEY,4.37E-05,0.001631757,6.25E-05,0.000113815,0.000817853
BRADLY,5.46E-06,3.19E-05,0,0,0
BRADY,1.64E-05,8.57E-05,7.14E-05,1.80E-05,0
BRANDEN,5.46E-06,2.19E-05,0,0,0.000116836
BRANDI,7.64E-05,0.000222554,0.00027682,1.20E-05,0.000233672
BRANDIE,0,3.24E-05,2.68E-05,5.99E-06,0
BRANDON,0.000245696,0.001124626,0.000901898,0.000341446,0.001402033
BRANDT,0,2.51E-05,8.93E-06,0,0
BRANDY,9.83E-05,0.000213889,0.000160734,3.00E-05,0.000817853
BRANKO,0,9.12E-06,0,0,0
BRANNON,0,1.14E-05,0,0,0
BRANT,0,4.29E-05,1.79E-05,0,0
BREANNA,5.46E-06,2.10E-05,1.79E-05,0,0
BREANNE,5.46E-06,2.14E-05,8.93E-06,5.99E-06,0.000233672
BREE,0,1.82E-05,1.79E-05,0,0
BRENDA,0.001364979,0.00197106,0.004170164,0.000341446,0.002453558
BRENDAN,2.18E-05,0.000233955,8.93E-06,3.00E-05,0.000116836
BRENDON,5.46E-06,2.69E-05,2.68E-05,0,0.000116836
BRENNA,5.46E-06,3.65E-05,0,0,0
BRENNAN,5.46E-06,2.65E-05,8.93E-06,5.99E-06,0
BRENT,9.28E-05,0.000934908,0.000187523,8.99E-05,0.00058418
BRENTON,0,2.65E-05,2.68E-05,0,0
BRET,5.46E-06,0.000186982,4.46E-05,0,0.000116836
BRETT,3.82E-05,0.000875165,0.000151805,3.00E-05,0.000350508
BRIAN,0.000715249,0.00802972,0.002187773,0.001743173,0.003738755
BRIANA,3.82E-05,4.24E-05,8.93E-06,5.99E-06,0
BRIANNA,1.64E-05,4.51E-05,8.93E-06,5.99E-06,0
BRIANNE,5.46E-06,4.20E-05,0,0,0
BRICE,0,3.74E-05,0,1.20E-05,0
BRIDGET,6.01E-05,0.000330182,0.000348258,3.00E-05,0
BRIDGETT,5.46E-06,2.42E-05,8.93E-05,0,0
BRIDGETTE,1.64E-05,4.29E-05,0.00027682,5.99E-06,0.000116836
BRIDGIT,0,7.75E-06,0,0,0
BRIEN,5.46E-06,1.69E-05,8.93E-06,5.99E-06,0
BRIENNE,0,6.84E-06,0,0,0
BRIGETTE,1.09E-05,1.46E-05,2.68E-05,0,0
BRIGID,5.46E-06,3.42E-05,0,0,0.000116836
BRIGIDA,7.10E-05,3.65E-06,8.93E-06,5.39E-05,0.000116836
BRIGITTE,1.64E-05,7.25E-05,6.25E-05,4.19E-05,0
BRIJESH,0,0,0,8.99E-05,0
BRION,5.46E-06,1.41E-05,8.93E-06,5.99E-06,0
BRITA,0,6.84E-06,0,0,0
BRITNEY,5.46E-06,2.23E-05,2.68E-05,0,0
BRITT,5.46E-06,4.38E-05,1.79E-05,0,0
BRITTA,0,2.51E-05,0,0,0
BRITTANY,2.18E-05,0.000246725,0.000169664,3.00E-05,0
BRITTNEY,1.09E-05,6.11E-05,4.46E-05,5.99E-06,0.000233672
BRITTON,0,2.55E-05,8.93E-06,0,0
BROCK,5.46E-06,7.30E-05,1.79E-05,0,0.000116836
BRODIE,0,7.75E-06,0,0,0
BRODY,0,1.00E-05,0,0,0
BRONWYN,0,1.50E-05,0,0,0
BROOK,0,5.24E-05,2.68E-05,0,0
BROOKE,2.73E-05,0.000330182,8.93E-05,1.80E-05,0.000233672
BROOKS,0,6.84E-05,0,5.99E-06,0
BRUCE,0.000180177,0.002330885,0.001009055,0.000443281,0.001986213
BRUNO,0.000152878,5.43E-05,8.93E-06,0,0
BRYAN,0.000272996,0.001573838,0.000696516,0.00062299,0.000350508
BRYANT,4.37E-05,6.25E-05,0.000258961,7.79E-05,0
BRYCE,1.09E-05,0.000103068,1.79E-05,3.59E-05,0
BRYN,1.09E-05,1.50E-05,0,5.99E-06,0
BRYNN,0,1.37E-05,0,0,0
BRYON,0,6.80E-05,8.04E-05,5.99E-06,0.000116836
BRYSON,0,1.46E-05,0,1.20E-05,0
BUCK,0,8.21E-06,0,0,0
BUD,5.46E-06,1.37E-05,0,5.99E-06,0
BUDDY,5.46E-06,2.65E-05,8.93E-06,2.40E-05,0.000116836
BUFFY,0,1.05E-05,0,0,0
BUFORD,0,1.23E-05,3.57E-05,0,0
BURKE,0,1.32E-05,0,5.99E-06,0.000116836
BURT,5.46E-06,2.83E-05,5.36E-05,5.99E-06,0
BURTON,1.64E-05,6.20E-05,5.36E-05,2.40E-05,0.000116836
BYRON,0.000223857,0.00020796,0.000598289,0.000143767,0.000116836
BYUNG,5.46E-06,1.82E-06,0,0.000503184,0
CADE,0,8.67E-06,0,0,0
CAESAR,7.10E-05,6.84E-06,8.93E-06,1.80E-05,0
CAITLIN,0,8.89E-05,8.93E-06,2.40E-05,0
CALE,0,1.00E-05,0,0,0
CALEB,2.73E-05,0.000103068,8.93E-06,1.20E-05,0.000116836
CALLIE,0,3.28E-05,9.82E-05,1.20E-05,0
CALVIN,2.73E-05,0.000200207,0.00172343,0.000658931,0.000233672
CAM,0,5.47E-06,0,0.00020966,0
CAMELIA,2.18E-05,1.05E-05,3.57E-05,1.20E-05,0
CAMERON,1.64E-05,0.000239428,0.000125016,5.39E-05,0.000233672
CAMI,0,2.78E-05,0,0,0
CAMIE,0,6.84E-06,0,0,0
CAMILLA,0,3.37E-05,5.36E-05,0,0
CAMILLE,6.55E-05,0.00015369,0.000232172,5.39E-05,0.000116836
CAMILO,0.000120118,3.65E-06,0,4.19E-05,0
CAN,0,3.19E-06,0,0.000155747,0
CANDACE,3.28E-05,0.000332006,0.000508992,5.39E-05,0.000233672
CANDELARIO,0.000207477,1.82E-06,0,0,0
CANDI,5.46E-06,1.60E-05,0,0,0.000116836
CANDICE,7.64E-05,0.000212521,0.00029468,0.000119806,0.000467344
CANDIDA,0.000125578,5.02E-06,1.79E-05,1.20E-05,0
CANDIDO,0.000131038,1.82E-06,0,3.59E-05,0
CANDIS,5.46E-06,1.82E-05,3.57E-05,5.99E-06,0
CANDY,6.01E-05,8.16E-05,5.36E-05,5.99E-05,0.000116836
CANDYCE,1.09E-05,1.28E-05,8.93E-06,0,0
CARA,1.64E-05,0.000206136,9.82E-05,2.40E-05,0.000350508
CAREN,0,5.97E-05,4.46E-05,5.99E-06,0
CAREY,5.46E-06,0.000156426,5.36E-05,3.59E-05,0
CARI,2.18E-05,8.67E-05,0,5.99E-06,0
CARIDAD,9.28E-05,3.19E-06,0,3.59E-05,0
CARIE,0,2.78E-05,0,5.99E-06,0
CARIN,5.46E-06,3.83E-05,2.68E-05,5.99E-06,0
CARINA,0.000114658,1.73E-05,8.93E-06,2.40E-05,0
CARISSA,1.64E-05,4.88E-05,3.57E-05,4.19E-05,0
CARL,0.000185637,0.001431549,0.002152055,0.000293524,0.001402033
CARLA,0.000447713,0.000647139,0.001160859,4.19E-05,0.00058418
CARLEE,0,1.14E-05,0,0,0
CARLEEN,0,3.19E-05,2.68E-05,1.20E-05,0
CARLENE,5.46E-06,5.43E-05,9.82E-05,5.99E-06,0.00058418
CARLETON,0,1.37E-05,1.79E-05,0,0.000116836
CARLEY,0,1.19E-05,0,0,0
CARLIE,0,1.46E-05,0,0,0
CARLIN,0,1.23E-05,1.79E-05,1.20E-05,0
CARLO,8.74E-05,5.47E-05,3.57E-05,9.58E-05,0
CARLOS,0.013054659,0.000176036,0.000446484,0.000353427,0.00058418
CARLOTTA,5.46E-06,1.60E-05,0.000151805,5.99E-06,0.000233672
CARLTON,1.64E-05,8.85E-05,0.000723305,1.80E-05,0
CARLY,1.09E-05,7.07E-05,0,5.99E-06,0
CARLYN,0,1.19E-05,0,0,0
CARMA,0,1.28E-05,0,0,0
CARMEL,5.46E-06,2.74E-05,8.04E-05,3.00E-05,0
CARMELA,0.000147418,6.02E-05,1.79E-05,4.79E-05,0.000116836
CARMELITA,5.46E-05,9.58E-06,6.25E-05,0.00022164,0.000116836
CARMELLA,2.73E-05,3.06E-05,3.57E-05,5.99E-06,0
CARMELO,0.000169257,2.10E-05,1.79E-05,6.59E-05,0.000116836
CARMEN,0.004662768,0.000313764,0.000750094,0.000269563,0.000350508
CARMINE,1.09E-05,5.29E-05,0,0,0
CAROL,0.000715249,0.003903811,0.002071688,0.000682892,0.00268723
CAROLA,2.18E-05,1.09E-05,8.93E-06,1.20E-05,0
CAROLANN,1.09E-05,1.82E-05,1.79E-05,0,0
CAROLE,3.82E-05,0.000555928,0.00029468,0.000107825,0.000467344
CAROLEE,5.46E-06,2.37E-05,0,0,0
CAROLINA,0.000857207,2.65E-05,2.68E-05,0.000143767,0
CAROLINE,0.000202017,0.000512147,0.000321469,0.000323475,0.00058418
CAROLYN,0.000349435,0.001913597,0.003321844,0.000299514,0.001168361
CAROLYNN,1.09E-05,2.28E-05,1.79E-05,0,0
CARON,1.09E-05,2.87E-05,8.93E-06,0,0
CARRI,0,2.69E-05,0,0,0.000116836
CARRIE,0.000136498,0.001035696,0.000482203,0.000173718,0.000701016
CARROL,0,1.41E-05,5.36E-05,0,0
CARROLL,5.46E-06,8.16E-05,7.14E-05,1.20E-05,0.000116836
CARSON,5.46E-06,3.47E-05,1.79E-05,1.80E-05,0
CARTER,0,5.97E-05,7.14E-05,5.99E-06,0
CARY,3.28E-05,0.000175124,8.04E-05,0.000125796,0.000350508
CARYL,5.46E-06,3.19E-05,2.68E-05,1.20E-05,0.000116836
CARYN,1.64E-05,0.000120854,1.79E-05,1.80E-05,0.000116836
CASANDRA,2.18E-05,1.37E-05,8.93E-05,0,0
CASEY,3.82E-05,0.000501202,0.000160734,0.000161738,0.000233672
CASIMIR,5.46E-06,1.32E-05,8.93E-06,0,0
CASSANDRA,9.83E-05,0.000226202,0.001169789,5.99E-05,0
CASSIDY,5.46E-06,2.10E-05,8.93E-06,1.20E-05,0
CASSIE,5.46E-06,7.62E-05,2.68E-05,1.20E-05,0.000116836
CATALINA,0.000496852,1.23E-05,0,0.000119806,0.000233672
CATERINA,1.09E-05,1.73E-05,0,0,0
CATHARINE,1.09E-05,4.06E-05,8.93E-06,5.99E-06,0
CATHERINE,0.000496852,0.002490504,0.001223367,0.000898543,0.001518869
CATHI,0,2.28E-05,0,0,0
CATHIE,0,4.06E-05,2.68E-05,5.99E-06,0
CATHLEEN,4.37E-05,0.000228482,0,1.20E-05,0.000116836
CATHRYN,5.46E-06,7.84E-05,1.79E-05,0,0.000233672
CATHY,0.000207477,0.000776658,0.000508992,0.000323475,0.000467344
CATRINA,1.09E-05,1.73E-05,8.93E-05,1.20E-05,0
CECELIA,6.55E-05,8.39E-05,0.000205383,3.00E-05,0
CECIL,2.73E-05,0.000117662,0.000508992,3.00E-05,0.000116836
CECILE,5.46E-06,3.56E-05,6.25E-05,6.59E-05,0
CECILIA,0.001435958,0.000154146,0.000142875,0.000509174,0.000233672
CECILIO,0.000147418,2.74E-06,0,1.20E-05,0
CECILY,0,1.60E-05,8.93E-06,1.80E-05,0
CEDRIC,0,1.64E-05,0.000732234,7.19E-05,0.000233672
CELESTE,0.000125578,0.000147305,0.000205383,0.000101835,0.000116836
CELESTINO,9.83E-05,2.28E-06,8.93E-06,3.59E-05,0
CELIA,0.000786228,8.25E-05,8.93E-05,0.000101835,0.000116836
CELINA,0.000234776,1.23E-05,1.79E-05,1.80E-05,0
CELINE,1.64E-05,1.82E-05,1.79E-05,2.40E-05,0
CELSO,0.000262076,2.74E-06,0,4.19E-05,0
CESAR,0.003117612,2.19E-05,8.93E-06,0.000365407,0
CEZARY,0,8.67E-06,0,0,0
CHAD,7.64E-05,0.001405098,0.000223242,0.000155747,0.000817853
CHADWICK,5.46E-06,5.38E-05,0,5.99E-06,0
CHAN,0,3.19E-06,0,0.000359417,0
CHANCE,1.64E-05,3.01E-05,2.68E-05,0,0.000116836
CHANDA,0,1.69E-05,0.000116086,4.79E-05,0
CHANDLER,5.46E-06,1.82E-05,2.68E-05,5.99E-06,0
CHANDRA,1.09E-05,5.06E-05,0.000214313,0.000335456,0.000116836
CHANG,5.46E-06,1.37E-06,0,0.000922504,0.000116836
CHANH,0,0,0,0.000143767,0
CHANNING,0,7.30E-06,0,0,0
CHANTAL,1.09E-05,2.28E-05,0.000116086,4.19E-05,0
CHANTEL,1.64E-05,1.73E-05,5.36E-05,0,0
CHANTELLE,5.46E-06,1.64E-05,5.36E-05,1.80E-05,0
CHAO,0,9.12E-07,0,0.000437291,0
CHARISSA,1.09E-05,1.41E-05,8.93E-06,1.20E-05,0
CHARISSE,2.18E-05,1.60E-05,8.04E-05,1.20E-05,0
CHARITY,1.64E-05,6.57E-05,0.000107156,1.80E-05,0.000116836
CHARLA,0,2.96E-05,3.57E-05,1.20E-05,0.000233672
CHARLEEN,0,2.83E-05,1.79E-05,2.40E-05,0.000116836
CHARLENE,9.28E-05,0.000419112,0.000910828,0.000131786,0.000701016
CHARLES,0.001091983,0.006776943,0.008054578,0.001455639,0.006659657
CHARLEY,1.09E-05,1.37E-05,6.25E-05,3.00E-05,0
CHARLIE,0.000141958,9.08E-05,0.000759023,0.000329466,0.000116836
CHARLOTTE,9.28E-05,0.000508955,0.000767953,0.000101835,0.001285197
CHARMAINE,2.18E-05,3.92E-05,0.000357188,7.79E-05,0.000350508
CHASE,1.64E-05,6.11E-05,1.79E-05,1.80E-05,0.000350508
CHASITY,0,1.37E-05,5.36E-05,0,0.000116836
CHASTITY,1.09E-05,1.41E-05,2.68E-05,0,0
CHAU,0,9.12E-07,0,0.000581058,0
CHAUNCEY,0,7.75E-06,0.000133945,5.99E-06,0
CHEE,5.46E-06,0,8.93E-06,0.000167728,0
CHELSEA,2.18E-05,0.000112645,2.68E-05,3.59E-05,0
CHELSEY,0,2.33E-05,0,0,0
CHEN,0,1.82E-06,0,0.000293524,0
CHENG,5.46E-06,9.12E-07,0,0.000575067,0
CHERI,2.18E-05,0.00019291,0.000107156,1.80E-05,0
CHERIE,6.01E-05,0.000170108,8.04E-05,4.79E-05,0
CHERISE,0,8.67E-06,9.82E-05,5.99E-06,0
CHERRI,0,1.73E-05,8.93E-06,5.99E-06,0
CHERRIE,5.46E-06,1.14E-05,4.46E-05,1.80E-05,0
CHERRY,5.46E-06,2.46E-05,8.93E-05,0.000101835,0.000350508
CHERRYL,0,1.23E-05,3.57E-05,0,0
CHERYL,0.000212937,0.002502361,0.002759273,0.000389368,0.001752541
CHERYLE,5.46E-06,2.65E-05,2.68E-05,5.99E-06,0
CHERYLL,5.46E-06,1.41E-05,8.93E-06,5.99E-06,0
CHESTER,1.64E-05,0.000158706,0.000321469,0.000101835,0.000233672
CHET,1.09E-05,2.74E-05,3.57E-05,1.80E-05,0.000116836
CHETAN,0,3.19E-06,0,0.000197679,0
CHEUK,0,0,0,8.99E-05,0
CHEYENNE,0,1.19E-05,2.68E-05,0,0.000350508
CHI,0,2.74E-06,0,0.001305882,0
CHIA,0,4.56E-07,0,0.000227631,0
CHIEN,0,0,0,0.000233621,0
CHIH,0,0,0,0.00020367,0
CHIN,5.46E-06,4.56E-07,0,0.000329466,0
CHING,0,9.12E-07,0,0.000359417,0
CHINH,0,4.56E-07,0,0.000359417,0
CHIRAG,0,1.82E-06,0,0.000227631,0.000116836
CHITRA,0,1.82E-06,0,0.000155747,0.000116836
CHLOE,1.09E-05,1.55E-05,1.79E-05,2.40E-05,0
CHONG,1.09E-05,5.93E-06,8.93E-06,0.00083864,0.000233672
CHRIS,0.000300295,0.001045273,0.000357188,0.00064096,0.000701016
CHRISTA,1.64E-05,0.000167827,3.57E-05,0,0
CHRISTAL,0,1.14E-05,8.93E-05,5.99E-06,0
CHRISTEL,5.46E-06,2.14E-05,2.68E-05,0,0.000116836
CHRISTEN,0,4.29E-05,1.79E-05,0,0
CHRISTI,2.18E-05,0.000114013,0,2.40E-05,0.000116836
CHRISTIAN,0.000868127,0.000571434,0.000241102,0.000173718,0.00058418
CHRISTIANA,0,1.73E-05,0.000107156,0,0
CHRISTIANE,1.64E-05,2.78E-05,0,0,0
CHRISTIANNE,0,8.21E-06,0,0,0
CHRISTIE,6.55E-05,0.000227114,0.000116086,6.59E-05,0
CHRISTIN,5.46E-06,3.92E-05,0,5.99E-06,0
CHRISTINA,0.001446878,0.001685115,0.000660797,0.000736805,0.001986213
CHRISTINE,0.000862667,0.003536233,0.001026914,0.001539503,0.001635705
CHRISTOPH,0,1.69E-05,0,5.99E-06,0
CHRISTOPHE,0,2.55E-05,0,5.99E-06,0
CHRISTOPHER,0.002025629,0.008954595,0.00370582,0.001743173,0.00654282
CHRISTOS,5.46E-06,2.78E-05,0,0,0
CHRISTY,7.10E-05,0.000451948,0.000107156,0.000167728,0.000350508
CHRYSTAL,1.09E-05,3.24E-05,0.000116086,2.40E-05,0.000116836
CHU,0,9.12E-07,0,0.000173718,0
CHUAN,0,4.56E-07,0,0.000185699,0
CHUCK,5.46E-06,4.20E-05,8.93E-06,0.000119806,0.000116836
CHUN,5.46E-06,1.82E-06,0,0.000880572,0
CHUNG,0,1.37E-06,8.93E-06,0.000940475,0
CHUONG,0,9.12E-07,0,0.00042531,0
CINDA,1.64E-05,2.19E-05,2.68E-05,1.20E-05,0
CINDEE,0,9.12E-06,0,0,0
CINDI,1.64E-05,5.24E-05,0,1.20E-05,0
CINDY,0.000491392,0.001101823,0.000205383,0.000952455,0.000467344
CIPRIANO,0.000196557,1.37E-06,0,2.40E-05,0
CIRILO,0.000125578,4.56E-07,0,3.59E-05,0
CIRO,8.19E-05,6.84E-06,0,5.99E-06,0
CLAIR,0,3.37E-05,1.79E-05,5.99E-06,0
CLAIRE,4.37E-05,0.000329726,0.000116086,0.000137777,0.000116836
CLARA,0.000475013,0.000118118,0.0005715,0.000119806,0
CLARE,1.64E-05,0.0001017,2.68E-05,3.59E-05,0.000116836
CLARENCE,1.64E-05,0.00022073,0.001768078,0.000191689,0.000467344
CLARICE,1.09E-05,2.92E-05,0.000107156,4.19E-05,0.000116836
CLARISSA,0.000103738,3.47E-05,0.000116086,4.79E-05,0.000116836
CLARK,1.64E-05,0.000164179,0.000107156,5.99E-05,0.000350508
CLARKE,0,1.78E-05,0,1.20E-05,0
CLAUDE,2.73E-05,0.000143657,0.000419695,5.99E-06,0.000116836
CLAUDETTE,1.64E-05,5.20E-05,0.000455414,2.40E-05,0.000116836
CLAUDIA,0.002637139,0.000458333,0.000517922,9.58E-05,0.000817853
CLAUDINE,2.18E-05,3.88E-05,8.93E-05,1.20E-05,0.000116836
CLAUDIO,0.000376734,2.69E-05,8.93E-06,5.99E-06,0
CLAUS,0,9.12E-06,0,0,0
CLAY,0,0.000134079,3.57E-05,2.40E-05,0.000116836
CLAYTON,1.09E-05,0.000254021,0.000142875,9.58E-05,0.000467344
CLEMENT,1.64E-05,2.96E-05,0.000214313,0.000125796,0
CLEMENTE,0.000229316,5.02E-06,8.93E-06,4.19E-05,0
CLEO,2.73E-05,1.92E-05,0.000169664,2.40E-05,0
CLEVE,0,9.12E-06,0,0,0
CLEVELAND,0,7.30E-06,0.000232172,5.99E-06,0
CLIFF,5.46E-06,4.56E-05,6.25E-05,5.99E-05,0
CLIFFORD,1.64E-05,0.000485696,0.000607219,0.000233621,0.000116836
CLIFTON,1.64E-05,0.000118574,0.000642938,4.79E-05,0.000467344
CLINT,2.18E-05,0.000156426,4.46E-05,5.99E-05,0.000233672
CLINTON,2.18E-05,0.000266335,0.000544711,7.19E-05,0.000116836
CLIVE,5.46E-06,1.96E-05,9.82E-05,1.20E-05,0
CLYDE,2.73E-05,0.000183333,0.000508992,9.58E-05,0.000350508
COBY,0,1.32E-05,0,0,0.000116836
CODY,1.64E-05,0.000219361,5.36E-05,3.00E-05,0.000233672
COLBY,0,5.29E-05,8.93E-06,5.99E-06,0
COLE,5.46E-06,6.02E-05,4.46E-05,0,0.000116836
COLEEN,1.09E-05,8.30E-05,4.46E-05,1.80E-05,0.000116836
COLEMAN,0,1.73E-05,2.68E-05,0,0
COLETTE,5.46E-06,0.000105348,0.000169664,1.20E-05,0.000116836
COLIN,1.09E-05,0.000272263,0.000169664,7.79E-05,0.000116836
COLLEEN,8.19E-05,0.001129643,0.000160734,0.000101835,0.000701016
COLLETTE,0,3.51E-05,2.68E-05,1.20E-05,0
COLLIN,1.09E-05,5.43E-05,5.36E-05,2.40E-05,0
COLM,0,1.00E-05,0,0,0
COLT,0,7.75E-06,0,0,0
COLTON,0,1.60E-05,0,0,0
CONCEPCION,0.000540532,4.10E-06,0,0.000101835,0
CONCETTA,5.46E-06,3.97E-05,1.79E-05,0,0
CONNIE,0.000447713,0.0010398,0.000455414,0.000694873,0.00058418
CONOR,0,2.14E-05,0,0,0
CONRAD,8.19E-05,9.44E-05,0.000196453,0.000101835,0.000350508
CONRADO,0.000109198,1.82E-06,0,0.000143767,0
CONSTANCE,7.10E-05,0.000531757,0.000678656,6.59E-05,0.000467344
CONSTANTIN,0,1.28E-05,0,1.20E-05,0
CONSTANTINE,0,4.47E-05,8.93E-06,5.99E-06,0
CONSTANTINO,0.000103738,5.93E-06,0,4.19E-05,0
CONSUELO,0.000753468,1.19E-05,2.68E-05,8.99E-05,0
CORA,4.37E-05,4.74E-05,0.000366117,6.59E-05,0.000350508
CORAL,1.64E-05,2.01E-05,2.68E-05,5.99E-06,0
CORAZON,8.19E-05,5.02E-06,0,0.00041333,0
CORBETT,0,7.30E-06,0,0,0
CORBIN,0,1.41E-05,8.93E-06,0,0
CORDELIA,3.82E-05,8.21E-06,8.93E-05,5.99E-06,0.000116836
CORDELL,0,1.05E-05,8.04E-05,5.99E-06,0
COREY,2.73E-05,0.000443283,0.000794742,8.39E-05,0.000817853
CORI,1.09E-05,4.20E-05,1.79E-05,5.99E-06,0
CORIE,5.46E-06,1.19E-05,1.79E-05,5.99E-06,0
CORINA,0.000223857,3.15E-05,1.79E-05,1.80E-05,0
CORINE,1.64E-05,9.12E-06,0.000107156,5.99E-06,0
CORINNA,3.82E-05,2.51E-05,8.93E-06,5.99E-06,0
CORINNE,3.82E-05,0.000166003,5.36E-05,5.99E-05,0
CORNELIA,1.64E-05,4.65E-05,0.000187523,1.20E-05,0
CORNELIO,9.83E-05,1.82E-06,0,4.19E-05,0.000116836
CORNELIUS,1.09E-05,4.29E-05,0.000357188,5.99E-06,0
CORNELL,1.09E-05,4.56E-06,0.000214313,0,0.000116836
CORRIE,1.64E-05,3.10E-05,0,0,0.000116836
CORRIN,0,8.21E-06,0,0,0
CORRINE,3.82E-05,5.29E-05,6.25E-05,1.20E-05,0
CORT,0,7.75E-06,0,0,0
CORTNEY,5.46E-06,3.79E-05,4.46E-05,0,0.000116836
CORY,3.28E-05,0.000412728,0.000241102,0.000101835,0.000233672
COSMO,0,1.00E-05,0,0,0
COURTENAY,0,8.21E-06,0,0,0
COURTNEY,5.46E-06,0.000512603,0.000607219,5.99E-05,0.000701016
COY,0,1.69E-05,1.79E-05,1.20E-05,0
CRAIG,0.000109198,0.002347759,0.001026914,0.000329466,0.000934689
CREIGHTON,0,1.32E-05,0,3.00E-05,0
CRIS,0,1.92E-05,0,3.00E-05,0
CRISPIN,9.83E-05,5.93E-06,1.79E-05,5.39E-05,0
CRISTA,0,2.46E-05,0,0,0
CRISTEN,0,1.41E-05,8.93E-06,0,0
CRISTI,1.64E-05,1.73E-05,0,0,0
CRISTIAN,0.000272996,2.65E-05,0,5.99E-06,0
CRISTIE,0,1.37E-05,0,0,0.000116836
CRISTIN,0,2.69E-05,0,0,0
CRISTINA,0.001086523,0.000124502,6.25E-05,0.000353427,0.000116836
CRISTINE,0,2.69E-05,0,1.80E-05,0
CRISTOBAL,0.000272996,1.82E-06,0,5.99E-06,0
CRISTOPHER,1.64E-05,1.32E-05,0,5.99E-06,0
CRISTY,5.46E-06,3.74E-05,0,2.40E-05,0
CRUZ,0.000573291,1.37E-06,0,0,0
CRYSTAL,0.000398574,0.000543615,0.001294805,0.000179709,0.000934689
CUC,0,0,0,9.58E-05,0
CUONG,5.46E-06,9.12E-07,0,0.000994387,0.000116836
CURT,0,0.000140008,8.93E-06,2.40E-05,0
CURTIS,6.01E-05,0.000753399,0.001875234,0.000245602,0.001402033
CURTISS,0,1.69E-05,5.36E-05,0,0
CYNDI,5.46E-06,1.82E-05,0,1.20E-05,0
CYNTHIA,0.001878211,0.00370634,0.003973711,0.00106028,0.002920902
CYRIL,5.46E-06,2.10E-05,8.04E-05,7.19E-05,0
CYRUS,5.46E-06,3.15E-05,9.82E-05,4.19E-05,0
DA,0,0,0,0.000119806,0
DAGOBERTO,0.000218397,0,0,0,0
DAI,0,1.37E-06,0,0.000197679,0
DAISY,0.000535072,3.51E-05,0.000258961,0.000353427,0.000233672
DALE,8.19E-05,0.001349004,0.000508992,0.000191689,0.000701016
DALENE,0,9.58E-06,0,0,0
DALIA,0.000152878,1.37E-05,2.68E-05,5.99E-06,0
